candidate_id,rank,score,reasoning
CAND_0021491,1,0.9383,"Semantic Capability Bonus, Bonus: lora, Bonus: peft, Active Seeker Boost"
CAND_0006567,2,0.9279,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0008295,3,0.9247,"Semantic Capability Bonus, Bonus: peft, Bonus: qlora, Active Seeker Boost"
CAND_0047542,4,0.9195,"Semantic Capability Bonus, Bonus: peft, Bonus: lora, Bonus: qlora, Active Seeker Boost"
CAND_0054318,5,0.9088,"Semantic Capability Bonus, Bonus: qlora, Bonus: lora, Active Seeker Boost"
CAND_0058688,6,0.9044,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0076995,7,0.9016,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0098846,8,0.9004,"Semantic Capability Bonus, Bonus: peft, Bonus: qlora, Active Seeker Boost"
CAND_0002025,9,0.8957,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0051936,10,0.8887,"Semantic Capability Bonus, Bonus: lora, Bonus: peft, Active Seeker Boost"
CAND_0062247,11,0.8874,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0043676,12,0.8829,"Semantic Capability Bonus, Bonus: qlora, Bonus: peft, Bonus: lora, Active Seeker Boost"
CAND_0044890,13,0.8824,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0093193,14,0.8769,"Semantic Capability Bonus, Bonus: open-source ml libraries, Active Seeker Boost"
CAND_0098952,15,0.8758,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0079387,16,0.8757,"Semantic Capability Bonus, Bonus: qlora, Bonus: lora, Active Seeker Boost"
CAND_0099806,17,0.8729,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0023076,18,0.8699,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0051219,19,0.8698,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0053591,20,0.8671,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0044222,21,0.8669,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0010541,22,0.8667,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0022415,23,0.8620,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0035879,24,0.8586,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0004628,25,0.8576,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0054546,26,0.8564,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
CAND_0008239,27,0.8550,"Semantic Capability Bonus, Bonus: peft, Active Seeker Boost"
CAND_0088602,28,0.8462,"Semantic Capability Bonus, Bonus: peft, Bonus: qlora, Active Seeker Boost"
CAND_0059017,29,0.8447,"Semantic Capability Bonus, Bonus: qlora, Active Seeker Boost"
CAND_0062413,30,0.8444,"Semantic Capability Bonus, Active Seeker Boost"
CAND_0024878,31,0.8430,"Semantic Capability Bonus, Bonus: lora, Bonus: peft, Active Seeker Boost"
CAND_0023458,32,0.8413,"Semantic Capability Bonus, Bonus: lora, Active Seeker Boost"
